row_index,wav_path,speaker_id,gender,nativeness,reference_raw,reference_norm,prediction_base_raw,prediction_ablated_raw,prediction_base_norm,prediction_ablated_norm,wer_base,wer_ablated,wer_delta,cer_base,cer_ablated,cer_delta,ablation_layer,error,transcript_path,reference_fixed_raw,transcript_error,reference_fixed_norm,prediction_base_norm_fixed,prediction_ablated_norm_fixed,wer_base_fixed,wer_ablated_fixed,wer_delta_fixed,cer_base_fixed,cer_ablated_fixed,cer_delta_fixed
0,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_5.wav,N_Sp17_F,F,native,3,3, صراط الذين أنعمت عليهم, صراط الذين أنعمت عليهم,صراط الذين انعمت عليهم,صراط الذين انعمت عليهم,4.0,4.0,0.0,22.0,22.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S3.txt,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم,,صراط الذين انعمت عليهم,صراط الذين انعمت عليهم,صراط الذين انعمت عليهم,0.0,0.0,0.0,0.0,0.0,0.0
1,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_3.wav,N_Sp17_F,F,native,3,3, سراط الذين أنعمت عليهم, سراط الذين أنعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,4.0,4.0,0.0,22.0,22.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S3.txt,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم,,صراط الذين انعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,0.25,0.25,0.0,0.045454545454545456,0.045454545454545456,0.0
2,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_2.wav,N_Sp17_F,F,native,3,3, سراط الذين أنعمت عليهم, سراط الذين أنعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,4.0,4.0,0.0,22.0,22.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S3.txt,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم,,صراط الذين انعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,0.25,0.25,0.0,0.045454545454545456,0.045454545454545456,0.0
3,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_4.wav,N_Sp17_F,F,native,3,3, سراط الذين أنعمت عليهم, سراط الذين أنعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,4.0,4.0,0.0,22.0,22.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S3.txt,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم,,صراط الذين انعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,0.25,0.25,0.0,0.045454545454545456,0.045454545454545456,0.0
4,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence3/Sp17_NF_S3_1.wav,N_Sp17_F,F,native,3,3, سراط الذين أنعمت عليهم, سراط الذين أنعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,4.0,4.0,0.0,22.0,22.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S3.txt,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم,,صراط الذين انعمت عليهم,سراط الذين انعمت عليهم,سراط الذين انعمت عليهم,0.25,0.25,0.0,0.045454545454545456,0.045454545454545456,0.0
5,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_5.wav,N_Sp17_F,F,native,5,5, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,8.0,8.0,0.0,43.0,43.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S5.txt,تراهم ركعاً سجداً يبتغون فضلاً من الله و رضوانا,,تراهم ركعا سجدا يبتغون فضلا من الله و رضوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,0.2222222222222222,0.2222222222222222,0.0,0.045454545454545456,0.045454545454545456,0.0
6,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_4.wav,N_Sp17_F,F,native,5,5, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,8.0,8.0,0.0,43.0,43.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S5.txt,تراهم ركعاً سجداً يبتغون فضلاً من الله و رضوانا,,تراهم ركعا سجدا يبتغون فضلا من الله و رضوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,0.2222222222222222,0.2222222222222222,0.0,0.045454545454545456,0.045454545454545456,0.0
7,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_3.wav,N_Sp17_F,F,native,5,5, تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا, تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا,تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا,تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا,8.0,8.0,0.0,43.0,43.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S5.txt,تراهم ركعاً سجداً يبتغون فضلاً من الله و رضوانا,,تراهم ركعا سجدا يبتغون فضلا من الله و رضوانا,تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا,تراهم ركعا سجدا يبتغون فضلا من الله ورضوانا,0.2222222222222222,0.2222222222222222,0.0,0.022727272727272728,0.022727272727272728,0.0
8,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_2.wav,N_Sp17_F,F,native,5,5, ترىهم ركعا سجدا يبتغون فضلا من الله وردوانا, ترىهم ركعا سجدا يبتغون فضلا من الله وردوانا,تريهم ركعا سجدا يبتغون فضلا من الله وردوانا,تريهم ركعا سجدا يبتغون فضلا من الله وردوانا,8.0,8.0,0.0,43.0,43.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S5.txt,تراهم ركعاً سجداً يبتغون فضلاً من الله و رضوانا,,تراهم ركعا سجدا يبتغون فضلا من الله و رضوانا,تريهم ركعا سجدا يبتغون فضلا من الله وردوانا,تريهم ركعا سجدا يبتغون فضلا من الله وردوانا,0.3333333333333333,0.3333333333333333,0.0,0.06818181818181818,0.06818181818181818,0.0
9,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/Speaker17/sentence5/Sp17_NF_S5_1.wav,N_Sp17_F,F,native,5,5, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا, تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,8.0,8.0,0.0,43.0,43.0,0.0,8,,/N/slate/mabdo/KSU/project/L2-KSU/data/native_speakers/Females/transcript/Sp17_NF_S5.txt,تراهم ركعاً سجداً يبتغون فضلاً من الله و رضوانا,,تراهم ركعا سجدا يبتغون فضلا من الله و رضوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,تراهم ركعا سجدا يبتغون فضلا من الله وردوانا,0.2222222222222222,0.2222222222222222,0.0,0.045454545454545456,0.045454545454545456,0.0
